name_code	common_name	type_id
204863	濱榕	1
204864	菱葉濱榕	1
204867	越橘葉蔓榕	1
204876	石朴	1
204877	小葉朴	1
204884	阿里山榆	1
204886	柄果苧麻	1
204890	花蓮苧麻	1
204894	畢祿山苧麻	1
204895	柄果苧麻	1
204899	紅頭咬人狗	1
204902	銳齒樓梯草	1
204905	糙梗樓梯草	1
204906	白背樓梯草	1
204908	微頭花樓梯草	1
204909	多溝樓梯草	1
204912	溪澗樓梯草	1
204913	微粗毛樓梯草	1
204914	近革葉樓梯草	1
204915	裂葉樓梯草	1
204916	柔毛樓梯草	1
204933	橢圓葉冷水麻	1
204934	奮起湖冷水麻	1
204943	圓果冷水麻	1
204944	細葉冷水麻	1
204945	細葉冷水麻	1
204951	臺灣蕁麻	1
204953	臺北秋海棠	1
204955	南臺灣秋海棠	1
204957	溪頭秋海棠	1
204961	鹿谷秋海棠	1
204962	南投秋海棠	1
204964	岩生秋海棠	1
204965	臺灣秋海棠	1
204976	臺灣羅漢果	1
204981	芋葉括樓	1
204994	假西番蓮	1
205001	喜岩堇菜	1
205002	雪山堇菜	1
205008	臺灣堇菜	1
205009	川上氏堇菜	1
205015	翠峰堇菜	1
205016	尖山堇菜	1
205017	新竹堇菜	1
205021	臺灣金狗毛蕨	1
205029	深山鐵線蕨	1
205035	臺灣高山鐵線蕨	1
205053	合歡山蹄蓋蕨	1
205101	擬德氏雙蓋蕨	1
205110	岡本氏岩蕨	1
205137	光葉鱗蓋蕨	1
205138	羽葉鱗蓋蕨	1
205151	毛果鱗蓋蕨	1
205155	臺灣曲軸蕨	1
205161	微彎假複葉耳蕨	1
205162	玉山假複葉耳蕨	1
205165	臺灣複葉耳蕨	1
205175	臺灣貫眾蕨	1
205182	能高鱗毛蕨	1
205188	深山鱗毛蕨	1
205200	細葉鱗毛蕨	1
205202	蓬萊鱗毛蕨	1
205203	落葉鱗毛蕨	1
205223	玉山耳蕨	1
205227	尖葉耳蕨	1
205230	鋸葉耳蕨	1
205259	臺灣膜蕨	1
205295	方柄陵齒蕨	1
205315	垂葉舌蕨	1
205334	擬密毛毛蕨	1
205335	毛蕨	1
205336	賽毛蕨	1
205337	突尖毛蕨	1
205340	廣葉毛蕨	1
205342	蘭嶼大葉毛蕨	1
205358	栗柄副金星蕨	1
205365	長柄新月蕨	1
205373	大斜金星蕨	1
205384	伊藤氏原始觀音座蓮	1
